a	あ
cm	しん
cj	くん
ct	せん
ci	こん
zv	ざん
zm	じん
zt	ぜん
jv	じゃん
jm	じん
jj	じゅん
jt	じぇん
ji	じょん
jyv	じゃん
jym	じぃん
jyj	じゅん
jyt	じぇん
jyi	じょん
;v	たん
;j	つん
;t	てん
;i	とん
tv	だん
tm	ぢん
tj	づん
tt	でん
ti	どん
nv	なん
nm	にん
nj	ぬん
nt	ねん
ni	のん
hv	はん
hm	ひん
hj	ふん
ht	へん
hi	ほん
bv	ばん
bm	びん
bj	ぶん
bt	べん
bi	ぼん
pv	ぱん
pm	ぴん
pj	ぷん
pt	ぺん
pi	ぽん
mv	まん
mm	みん
mj	むん
mt	めん
mi	もん
yv	やん
yj	ゆん
yt	いぇん
yi	よん
rv	らん
rm	りん
rj	るん
rt	れん
ri	ろん
wv	わん
wm	うぃん
wj	うん
wt	うぇん
wi	をん
eq	きゃ
ex	きゅ
eo	きょ
gq	ぎゃ
gx	ぎゅ
go	ぎょ
sq	しゃ
sx	しゅ
so	しょ
zq	じゃ
zx	じゅ
zo	じょ
;q	ちゃ
;x	ちゅ
;o	ちょ
tq	ぢゃ
tx	ぢゅ
to	ぢょ
nq	にゃ
nx	にゅ
no	にょ
hq	ひゃ
hx	ひゅ
ho	ひょ
bq	びゃ
bx	びゅ
bo	びょ
pq	ぴゃ
px	ぴゅ
po	ぴょ
mq	みゃ
mx	みゅ
mo	みょ
rq	りゃ
rx	りゅ
ro	りょ
fw	ふぇい
fp	ふぉい
xf	ぁい
xw	ぇい
xp	ぉい
if	ぁい
iw	ぇい
ip	ぉい
ef	かい
ew	けい
ep	こい
gf	がい
gw	げい
gp	ごい
sf	さい
sw	せい
sp	そい
cf	かい
cw	せい
cp	こい
zf	ざい
zw	ぜい
zp	ぞい
jf	じゃい
jw	じぇい
jp	じょい
;f	たい
;w	てい
;p	とい
tf	だい
tw	でい
tp	どい
nf	ない
nw	ねい
np	のい
hf	はい
hw	へい
hp	ほい
bf	ばい
bw	べい
bp	ぼい
pf	ぱい
pw	ぺい
mf	まい
mw	めい
mp	もい
yf	やい
yw	いぇい
yp	よい
rf	らい
rw	れい
rp	ろい
wf	わい
wp	をい
q	ー
v	ん
